2760
96	0	7	0

4	8	2670	2778	2814
91	9	2791	2899	2935
68	8	2750	2858	2894
14	10	2735	2843	2879
81	9	2781	2889	2925
24	10	2699	2807	2843
37	10	2770	2878	2914
89	10	2761	2869	2905
84	9	2724	2832	2868
96	7	2649	2757	2793
20	8	2757	2865	2901
87	8	2745	2853	2889
92	10	2660	2768	2804
82	10	2672	2780	2816
46	8	2738	2846	2882
79	10	2710	2818	2854
103	10	2690	2798	2834
28	9	2683	2791	2827
40	9	2781	2889	2925
80	9	2702	2810	2846
5	10	2718	2826	2862
102	9	2735	2843	2879
50	8	2792	2900	2936
88	9	2814	2922	2958
65	9	2798	2906	2942
71	8	2795	2903	2939
76	9	2792	2900	2936
16	9	2812	2920	2956
75	8	2810	2918	2954
60	9	2804	2912	2948
