2256
16	0	6	0
2	0	6	28
92	11	2247	2247	2271

72	10	2212	2320	2356
16	6	2088	2196	2232
63	8	2140	2248	2284
93	8	2118	2226	2262
2	6	2091	2199	2235
36	8	2166	2274	2310
61	10	2134	2242	2278
62	9	2107	2215	2251
70	9	2197	2305	2341
1	9	2144	2252	2288
77	9	2286	2394	2430
73	8	2121	2229	2265
58	8	2287	2395	2431
59	8	2119	2227	2263
26	9	2065	2173	2209
94	9	2112	2220	2256
17	9	2076	2184	2220
31	10	2130	2238	2274
95	8	2166	2274	2310
67	9	2065	2173	2209
64	9	2147	2255	2291
30	8	2226	2334	2370
53	10	2219	2327	2363
83	8	2307	2415	2451
42	9	2290	2398	2434
55	10	2301	2409	2445
9	9	2304	2412	2448
