2832
95	0	1	0
60	0	6	26
5	0	4	52
80	10	2828	2828	2852

82	9	2731	2947	3019
100	8	2699	2915	2987
79	10	2612	2828	2900
68	9	2626	2842	2914
103	10	2718	2934	3006
95	1	2592	2808	2880
63	8	2719	2935	3007
25	9	2701	2917	2989
41	10	2609	2825	2897
48	8	2679	2895	2967
58	10	2609	2825	2897
5	4	2604	2820	2892
60	6	2601	2817	2889
40	8	2654	2870	2942
76	10	2638	2854	2926
34	9	2628	2844	2916
54	8	2616	2832	2904
11	9	2615	2831	2903
93	8	2615	2831	2903
90	10	2669	2885	2957
15	9	2756	2972	3044
17	9	2756	2972	3044
4	10	2772	2988	3060
66	8	2778	2994	3066
83	8	2774	2990	3062
