3216
63	0	5	0
93	0	4	39
87	10	3210	3210	3234

43	9	3248	3338	3368
51	9	3102	3192	3222
50	10	3263	3353	3383
42	9	3093	3183	3213
96	10	3108	3198	3228
88	8	3224	3314	3344
99	10	3170	3260	3290
59	10	3111	3201	3231
81	9	3158	3248	3278
41	9	3158	3248	3278
77	9	3195	3285	3315
32	8	3273	3363	3393
35	9	3110	3200	3230
47	10	3169	3259	3289
24	9	3097	3187	3217
63	5	3090	3180	3210
69	10	3140	3230	3260
64	10	3214	3304	3334
54	8	3219	3309	3339
21	10	3134	3224	3254
55	9	3145	3235	3265
80	8	3081	3171	3201
60	9	3260	3350	3380
70	10	3146	3236	3266
8	10	3137	3227	3257
85	8	3086	3176	3206
93	4	3079	3169	3199
76	10	3244	3334	3364
27	10	3242	3332	3362
31	10	3185	3275	3305
6	10	3183	3273	3303
82	9	3212	3302	3332
23	8	3212	3302	3332
57	8	3198	3288	3318
103	9	3243	3333	3363
10	8	3249	3339	3369
17	9	3245	3335	3365
18	9	3280	3370	3400
