3120
73	0	1	0
40	11	3116	3116	3140
86	10	3119	3119	3143

89	8	3033	3123	3153
51	9	3102	3192	3222
92	10	3049	3139	3169
42	9	3093	3183	3213
96	10	3108	3198	3228
52	10	3046	3136	3166
102	8	3015	3105	3135
59	10	3111	3201	3231
81	9	3158	3248	3278
41	9	3158	3248	3278
5	9	3018	3108	3138
83	8	3031	3121	3151
35	9	3110	3200	3230
73	1	2996	3086	3116
24	9	3097	3187	3217
63	9	3090	3180	3210
69	10	3140	3230	3260
30	10	3029	3119	3149
20	9	3032	3122	3152
21	10	3134	3224	3254
55	9	3145	3235	3265
80	8	3081	3171	3201
71	10	3058	3148	3178
70	10	3146	3236	3266
8	10	3137	3227	3257
85	8	3086	3176	3206
93	8	3079	3169	3199
1	9	3074	3164	3194
38	8	3077	3167	3197
31	10	3185	3275	3305
6	10	3183	3273	3303
99	10	3170	3260	3290
47	10	3169	3259	3289
