3072
26	0	1	0

89	8	3033	3123	3153
51	9	3102	3192	3222
92	10	3049	3139	3169
19	8	3003	3093	3123
96	10	3108	3198	3228
52	10	3046	3136	3166
102	8	3015	3105	3135
59	10	3111	3201	3231
78	9	2979	3069	3099
39	10	2991	3081	3111
5	9	3018	3108	3138
83	8	3031	3121	3151
35	9	3110	3200	3230
73	10	2996	3086	3116
24	9	3097	3187	3217
63	9	3090	3180	3210
40	9	3049	3139	3169
30	10	3029	3119	3149
20	9	3032	3122	3152
26	1	2967	3057	3087
46	8	2975	3065	3095
80	8	3081	3171	3201
71	10	3058	3148	3178
53	9	2982	3072	3102
56	9	2977	3067	3097
85	8	3086	3176	3206
93	8	3079	3169	3199
1	9	3074	3164	3194
38	8	3077	3167	3197
42	9	3093	3183	3213
69	10	3140	3230	3260
8	10	3137	3227	3257
21	10	3134	3224	3254
55	9	3145	3235	3265
