3528
32	0	2	0
8	0	1	36
14	12	3525	3525	3549
67	10	3507	3507	3531

81	9	3550	3658	3694
49	10	3568	3676	3712
71	10	3545	3653	3689
92	9	3402	3510	3546
46	9	3476	3584	3620
4	8	3455	3563	3599
20	10	3528	3636	3672
103	8	3466	3574	3610
28	10	3406	3514	3550
102	8	3521	3629	3665
79	9	3489	3597	3633
8	1	3402	3510	3546
82	8	3442	3550	3586
5	10	3458	3566	3602
91	9	3554	3662	3698
24	8	3429	3537	3573
80	10	3492	3600	3636
76	9	3516	3624	3660
32	2	3388	3496	3532
96	9	3411	3519	3555
68	9	3507	3615	3651
84	10	3496	3604	3640
87	9	3505	3613	3649
37	9	3503	3611	3647
40	9	3530	3638	3674
89	9	3543	3651	3687
88	8	3544	3652	3688
60	9	3524	3632	3668
65	8	3555	3663	3699
50	8	3536	3644	3680
75	8	3578	3686	3722
19	9	3577	3685	3721
16	8	3575	3683	3719
26	8	3570	3678	3714
