1896

30	8	1800	2016	2088
55	10	1810	2026	2098
101	9	1695	1911	1983
72	9	1793	2009	2081
3	9	1729	1945	2017
83	10	1778	1994	2066
56	9	1769	1985	2057
82	10	1745	1961	2033
84	8	1759	1975	2047
45	10	1793	2009	2081
89	9	1770	1986	2058
43	9	1758	1974	2046
41	9	1807	2023	2095
24	10	1800	2016	2088
61	8	1674	1890	1962
49	8	1678	1894	1966
60	9	1679	1895	1967
58	8	1684	1900	1972
93	10	1683	1899	1971
103	10	1708	1924	1996
44	10	1718	1934	2006
95	10	1710	1926	1998
96	8	1729	1945	2017
102	8	1749	1965	2037
18	8	1749	1965	2037
65	8	1749	1965	2037
8	9	1756	1972	2044
12	10	1753	1969	2041
71	8	1797	2013	2085
64	9	1817	2033	2105
16	10	1800	2016	2088
78	8	1815	2031	2103
88	10	1842	2058	2130
7	10	1835	2051	2123
