3264
21	0	5	0
8	0	5	37

43	9	3248	3338	3368
84	9	3293	3383	3413
50	10	3263	3353	3383
2	9	3296	3386	3416
67	8	3299	3389	3419
88	8	3224	3314	3344
99	10	3170	3260	3290
74	9	3307	3397	3427
81	9	3158	3248	3278
41	9	3158	3248	3278
77	9	3195	3285	3315
32	8	3273	3363	3393
86	10	3292	3382	3412
47	10	3169	3259	3289
10	8	3249	3339	3369
17	9	3245	3335	3365
69	10	3140	3230	3260
64	10	3214	3304	3334
54	8	3219	3309	3339
21	5	3134	3224	3254
55	9	3145	3235	3265
80	8	3081	3171	3201
60	9	3260	3350	3380
70	10	3146	3236	3266
8	5	3137	3227	3257
37	10	3295	3385	3415
18	9	3280	3370	3400
76	10	3244	3334	3364
27	10	3242	3332	3362
31	10	3185	3275	3305
6	10	3183	3273	3303
82	9	3212	3302	3332
23	8	3212	3302	3332
57	8	3198	3288	3318
103	9	3243	3333	3363
62	10	3321	3411	3441
65	8	3319	3409	3439
