3504
69	0	3	0
44	0	1	36
73	0	1	72

6	9	3317	3533	3605
30	8	3311	3527	3599
31	8	3339	3555	3627
87	9	3293	3509	3581
44	1	3283	3499	3571
39	8	3318	3534	3606
21	9	3325	3541	3613
79	9	3341	3557	3629
27	10	3375	3591	3663
84	8	3369	3585	3657
55	9	3370	3586	3658
41	8	3370	3586	3658
14	9	3367	3583	3655
28	8	3394	3610	3682
62	8	3400	3616	3688
60	9	3394	3610	3682
5	9	3427	3643	3715
54	10	3393	3609	3681
73	1	3280	3496	3568
81	9	3404	3620	3692
92	10	3298	3514	3586
8	10	3287	3503	3575
69	3	3285	3501	3573
12	10	3292	3508	3580
16	10	3306	3522	3594
96	9	3296	3512	3584
75	9	3299	3515	3587
85	8	3298	3514	3586
91	9	3321	3537	3609
37	10	3358	3574	3646
68	10	3387	3603	3675
94	9	3383	3599	3671
22	8	3389	3605	3677
58	8	3433	3649	3721
11	10	3430	3646	3718
93	8	3434	3650	3722
