3480
84	0	8	0
97	0	8	36

43	9	3248	3338	3368
84	8	3293	3383	3413
7	9	3446	3536	3566
12	8	3515	3605	3635
22	8	3389	3479	3509
68	8	3425	3515	3545
36	8	3515	3605	3635
49	10	3518	3608	3638
28	10	3519	3609	3639
3	8	3449	3539	3569
15	9	3372	3462	3492
32	8	3273	3363	3393
14	8	3464	3554	3584
97	8	3356	3446	3476
10	8	3249	3339	3369
61	10	3505	3595	3625
101	9	3379	3469	3499
48	9	3378	3468	3498
29	8	3418	3508	3538
94	10	3473	3563	3593
72	9	3369	3459	3489
45	9	3371	3461	3491
90	9	3491	3581	3611
16	10	3498	3588	3618
65	8	3319	3409	3439
25	10	3496	3586	3616
13	10	3476	3566	3596
98	10	3432	3522	3552
58	8	3481	3571	3601
4	9	3471	3561	3591
100	10	3497	3587	3617
104	10	3514	3604	3634
9	9	3526	3616	3646
95	8	3507	3597	3627
33	10	3539	3629	3659
0	9	3549	3639	3669
