3000
61	0	4	0
0	0	2	30
71	12	2988	2988	3012

89	8	3033	3123	3153
33	8	2916	3006	3036
0	2	2894	2984	3014
19	8	3003	3093	3123
91	10	2958	3048	3078
52	10	3046	3136	3166
102	8	3015	3105	3135
34	9	2935	3025	3055
78	9	2979	3069	3099
39	10	2991	3081	3111
5	9	3018	3108	3138
83	8	3031	3121	3151
11	9	2912	3002	3032
73	10	2996	3086	3116
36	10	2902	2992	3022
66	8	2968	3058	3088
9	8	2905	2995	3025
61	4	2895	2985	3015
95	9	2901	2991	3021
26	9	2967	3057	3087
46	8	2975	3065	3095
75	9	2915	3005	3035
49	9	2907	2997	3027
53	9	2982	3072	3102
56	9	2977	3067	3097
40	9	3049	3139	3169
20	9	3032	3122	3152
30	10	3029	3119	3149
92	10	3049	3139	3169
